"CMDB_Id","Distribution","Architecture","Environment","Team","Last seen","Last modified","Installed version"
108380195,"Debian 8.11","amd64","DEV","Team Red","2019-03-18 06:42","2019-03-18 06:42","11.0.2.9-83(amd64)"
298205230,"Debian 9.6","amd64","--","Team Red","2019-03-18 06:42","2019-03-18 06:42","11.0.2.9-83(amd64)"
220678839,"Debian 8.11","amd64","DEV","Team Red","2019-03-18 06:42","2019-03-18 06:42","11.0.2.9-83(amd64)"
301865476,"Debian 9.7","amd64","--","Team Red","2019-03-18 06:42","2019-03-18 06:42","11.0.2.9-83(amd64)"
106655029,"Debian 9.7","amd64","DEV","Team Red","2019-03-18 06:46","2019-03-18 06:46","11.0.2.9-83(amd64)"
301865482,"Debian 9.7","amd64","--","Team Red","2019-03-18 06:46","2019-03-18 06:46","11.0.2.9-83(amd64)"
106654987,"Debian 9.7","amd64","DEV","Team Red","2019-03-18 06:49","2019-03-18 06:49","11.0.2.9-83(amd64)"
60479219,"Debian 8.11","amd64","DEV","Team Red","2019-03-18 06:49","2019-03-18 06:49","11.0.2.9-83(amd64)"
26141226,"Debian 8.11","amd64","DEV","Team Red","2019-03-18 06:49","2019-03-18 06:49","11.0.2.9-83(amd64)"
108380055,"Debian 8.11","amd64","DEV","Team Red","2019-03-18 06:49","2019-03-18 06:49","11.0.2.9-83(amd64)"
108380129,"Debian 8.11","amd64","DEV","Team Red","2019-03-18 06:49","2019-03-18 06:49","11.0.2.9-83(amd64)"
60391833,"Debian 8.11","amd64","DEV","Team Red","2019-03-18 06:49","2019-03-18 06:49","11.0.2.9-83(amd64)"
106655229,"Debian 9.7","amd64","DEV","Team Red","2019-03-18 06:50","2019-03-18 06:50","11.0.2.9-83(amd64)"
301882366,"Debian 9.8","amd64","--","Team Blue","2019-03-18 06:45","2019-03-18 06:45","11.0.2.9-85(amd64)"
108380195,"Debian 8.11","amd64","DEV","Team Red","2019-03-18 06:42","2019-03-18 06:42","8.202.b08-83(amd64)"
106941003,"Debian 8.11","amd64","QA","Team Red","2019-03-18 06:42","2019-03-18 06:42","8.202.b08-83(amd64)"
200142903,"Debian 8.11","amd64","QA","Team Red","2019-03-18 06:42","2019-03-18 06:42","8.202.b08-83(amd64)"
106934588,"Debian 8.11","amd64","QA","Team Red","2019-03-18 06:42","2019-03-18 06:42","8.202.b08-83(amd64)"
206625856,"Debian 8.11","amd64","QA","Team Red","2019-03-18 06:42","2019-03-18 06:42","8.202.b08-83(amd64)"
298205230,"Debian 9.6","amd64","--","Team Red","2019-03-18 06:42","2019-03-18 06:42","8.202.b08-83(amd64)"
193446334,"Debian 8.11","amd64","QA","Team Red","2019-03-18 06:42","2019-03-18 06:42","8.202.b08-83(amd64)"
220678839,"Debian 8.11","amd64","DEV","Team Red","2019-03-18 06:42","2019-03-18 06:42","8.202.b08-83(amd64)"
301865476,"Debian 9.7","amd64","--","Team Red","2019-03-18 06:42","2019-03-18 06:42","8.202.b08-83(amd64)"
106934430,"Debian 8.11","amd64","QA","Team Red","2019-03-18 06:43","2019-03-18 06:43","8.202.b08-83(amd64)"
190165332,"Debian 8.11","amd64","QA","Team Red","2019-03-18 06:43","2019-03-18 06:43","8.202.b08-83(amd64)"
234429165,"Debian 8.11","amd64","QA","Team Red","2019-03-18 06:45","2019-03-18 06:45","8.202.b08-83(amd64)"
106655029,"Debian 9.7","amd64","DEV","Team Red","2019-03-18 06:46","2019-03-18 06:46","8.202.b08-83(amd64)"
301865482,"Debian 9.7","amd64","--","Team Red","2019-03-18 06:46","2019-03-18 06:46","8.202.b08-83(amd64)"
106941319,"Debian 8.11","amd64","QA","Team Red","2019-03-18 06:46","2019-03-18 06:46","8.202.b08-83(amd64)"
106934051,"Debian 8.11","amd64","QA","Team Red","2019-03-18 06:46","2019-03-18 06:46","8.202.b08-83(amd64)"
106654987,"Debian 9.7","amd64","DEV","Team Red","2019-03-18 06:49","2019-03-18 06:49","8.202.b08-83(amd64)"
60479219,"Debian 8.11","amd64","DEV","Team Red","2019-03-18 06:49","2019-03-18 06:49","8.202.b08-83(amd64)"
26141226,"Debian 8.11","amd64","DEV","Team Red","2019-03-18 06:49","2019-03-18 06:49","8.202.b08-83(amd64)"
108380055,"Debian 8.11","amd64","DEV","Team Red","2019-03-18 06:49","2019-03-18 06:49","8.202.b08-83(amd64)"
106934678,"Debian 8.11","amd64","QA","Team Red","2019-03-18 06:49","2019-03-18 06:49","8.202.b08-83(amd64)"
108380129,"Debian 8.11","amd64","DEV","Team Red","2019-03-18 06:49","2019-03-18 06:49","8.202.b08-83(amd64)"
60391833,"Debian 8.11","amd64","DEV","Team Red","2019-03-18 06:49","2019-03-18 06:49","8.202.b08-83(amd64)"
106933977,"Debian 8.11","amd64","QA","Team Red","2019-03-18 06:49","2019-03-18 06:49","8.202.b08-83(amd64)"
106934178,"Debian 8.11","amd64","QA","Team Red","2019-03-18 06:49","2019-03-18 06:49","8.202.b08-83(amd64)"
194536499,"Debian 8.11","amd64","QA","Team Red","2019-03-18 06:49","2019-03-18 06:49","8.202.b08-83(amd64)"
192455782,"Debian 8.11","amd64","QA","Team Red","2019-03-18 06:50","2019-03-18 06:50","8.202.b08-83(amd64)"
106655229,"Debian 9.7","amd64","DEV","Team Red","2019-03-18 06:50","2019-03-18 06:50","8.202.b08-83(amd64)"
106941065,"Debian 8.11","amd64","QA","Team Red","2019-03-18 06:50","2019-03-18 06:50","8.202.b08-83(amd64)"
164328917,"Debian 8.11","amd64","QA","Team Red","2019-03-18 06:50","2019-03-18 06:50","8.202.b08-83(amd64)"
106934345,"Debian 8.11","amd64","QA","Team Red","2019-03-18 06:50","2019-03-18 06:50","8.202.b08-83(amd64)"
237150890,"Debian 8.10","amd64","QA","Team Red","2019-03-18 06:51","2019-03-18 06:51","8.202.b08-83(amd64)"
199897282,"Debian 8.11","amd64","--","Team Green","2019-03-18 07:02","2019-03-18 07:02","8.202.b08-83(amd64)"
84064106,"Debian 8.11","amd64","--","Team Green","2019-03-18 07:04","2019-03-18 07:04","8.202.b08-83(amd64)"
201756339,"Debian 8.11","amd64","--","Team Green","2019-03-18 07:08","2019-03-18 07:08","8.202.b08-83(amd64)"
200633214,"Debian 8.11","amd64","--","Team Green","2019-03-18 07:13","2019-03-18 07:13","8.202.b08-83(amd64)"
84065740,"Debian 8.11","amd64","--","Team Green","2019-03-18 07:16","2019-03-18 07:16","8.202.b08-83(amd64)"
201754509,"Debian 8.11","amd64","--","Team Green","2019-03-18 07:16","2019-03-18 07:16","8.202.b08-83(amd64)"
201754212,"Debian 8.11","amd64","--","Team Green","2019-03-18 07:19","2019-03-18 07:19","8.202.b08-83(amd64)"
84065697,"Debian 8.11","amd64","--","Team Green","2019-03-18 07:19","2019-03-18 07:19","8.202.b08-83(amd64)"
201754677,"Debian 8.11","amd64","--","Team Green","2019-03-18 07:32","2019-03-18 07:32","8.202.b08-83(amd64)"
130228809,"Debian 8.11","amd64","--","Team Green","2019-03-18 07:33","2019-03-18 07:33","8.202.b08-83(amd64)"
84064001,"Debian 8.11","amd64","--","Team Green","2019-03-18 07:33","2019-03-18 07:33","8.202.b08-83(amd64)"
199898080,"Debian 8.11","amd64","--","Team Green","2019-03-18 07:33","2019-03-18 07:33","8.202.b08-83(amd64)"
200166388,"Debian 8.11","amd64","--","Team Green","2019-03-18 07:34","2019-03-18 07:34","8.202.b08-83(amd64)"
201754315,"Debian 8.11","amd64","--","Team Green","2019-03-18 07:34","2019-03-18 07:34","8.202.b08-83(amd64)"
130229280,"Debian 8.11","amd64","--","Team Green","2019-03-18 07:35","2019-03-18 07:35","8.202.b08-83(amd64)"
199896968,"Debian 8.11","amd64","--","Team Green","2019-03-18 07:36","2019-03-18 07:36","8.202.b08-83(amd64)"
301877565,"Debian 9.8","amd64","DEV","Team Blue","2019-03-18 06:40","2019-03-18 06:40","8.202.b08-85(amd64)"
301877752,"Debian 9.8","amd64","DEV","Team Blue","2019-03-18 06:42","2019-03-18 06:42","8.202.b08-85(amd64)"
301878650,"Debian 9.8","amd64","--","Team Blue","2019-03-18 06:44","2019-03-18 06:44","8.202.b08-85(amd64)"
301878644,"Debian 9.8","amd64","--","Team Blue","2019-03-18 06:44","2019-03-18 06:44","8.202.b08-85(amd64)"
301878027,"Debian 9.8","amd64","QA","Team Blue","2019-03-18 06:44","2019-03-18 06:44","8.202.b08-85(amd64)"
301878021,"Debian 9.8","amd64","QA","Team Blue","2019-03-18 06:44","2019-03-18 06:44","8.202.b08-85(amd64)"
188882206,"Debian 8.9","amd64","DEV","Team Blue","2019-03-18 06:42","2019-03-18 06:42","8.202.b08-66(amd64)"
219849103,"Debian 8.11","amd64","--","Team Yellow","2019-03-18 07:15","2019-03-18 07:15","8.202.b08-83(amd64)"
180661396,"Debian 8.6","amd64","LIVE","Team Blue","2019-03-18 06:37","2019-03-18 06:37","8.202.b08-85(amd64)"
293266191,"Debian 9.6","amd64","LIVE","Team Blue","2019-03-18 06:39","2019-03-18 06:39","8.202.b08-85(amd64)"
282495169,"Debian 9.8","amd64","DEV","Team Blue","2019-03-18 06:39","2019-03-18 06:39","8.202.b08-85(amd64)"
301225677,"Debian 9.8","amd64","DEV","Team Blue","2019-03-18 06:39","2019-03-18 06:39","8.202.b08-85(amd64)"
301878975,"Debian 9.8","amd64","--","Team Blue","2019-03-18 06:39","2019-03-18 06:39","8.202.b08-85(amd64)"
295064893,"Debian 9.6","amd64","LIVE","Team Blue","2019-03-18 06:41","2019-03-18 06:41","8.202.b08-85(amd64)"
293267185,"Debian 9.6","amd64","LIVE","Team Blue","2019-03-18 06:41","2019-03-18 06:41","8.202.b08-85(amd64)"
301023427,"Debian 9.8","amd64","DEV","Team Blue","2019-03-18 06:41","2019-03-18 06:41","8.202.b08-85(amd64)"
293249691,"Debian 9.6","amd64","LIVE","Team Blue","2019-03-18 06:42","2019-03-18 06:42","8.202.b08-85(amd64)"
293265668,"Debian 9.6","amd64","LIVE","Team Blue","2019-03-18 06:42","2019-03-18 06:42","8.202.b08-85(amd64)"
295063935,"Debian 9.6","amd64","LIVE","Team Blue","2019-03-18 06:42","2019-03-18 06:42","8.202.b08-85(amd64)"
293179923,"Debian 9.6","amd64","LIVE","Team Blue","2019-03-18 06:42","2019-03-18 06:42","8.202.b08-85(amd64)"
301023177,"Debian 9.8","amd64","DEV","Team Blue","2019-03-18 06:42","2019-03-18 06:42","8.202.b08-85(amd64)"
301225762,"Debian 9.8","amd64","DEV","Team Blue","2019-03-18 06:42","2019-03-18 06:42","8.202.b08-85(amd64)"
301879055,"Debian 9.8","amd64","QA","Team Blue","2019-03-18 06:42","2019-03-18 06:42","8.202.b08-85(amd64)"
301878981,"Debian 9.8","amd64","--","Team Blue","2019-03-18 06:42","2019-03-18 06:42","8.202.b08-85(amd64)"
295065363,"Debian 9.6","amd64","LIVE","Team Blue","2019-03-18 06:43","2019-03-18 06:43","8.202.b08-85(amd64)"
293180001,"Debian 9.6","amd64","LIVE","Team Blue","2019-03-18 06:43","2019-03-18 06:43","8.202.b08-85(amd64)"
293266193,"Debian 9.6","amd64","LIVE","Team Blue","2019-03-18 06:43","2019-03-18 06:43","8.202.b08-85(amd64)"
293179175,"Debian 9.6","amd64","LIVE","Team Blue","2019-03-18 06:43","2019-03-18 06:43","8.202.b08-85(amd64)"
293247915,"Debian 9.6","amd64","LIVE","Team Blue","2019-03-18 06:43","2019-03-18 06:43","8.202.b08-85(amd64)"
295064031,"Debian 9.6","amd64","LIVE","Team Blue","2019-03-18 06:44","2019-03-18 06:44","8.202.b08-85(amd64)"
301878969,"Debian 9.8","amd64","QA","Team Blue","2019-03-18 06:44","2019-03-18 06:44","8.202.b08-85(amd64)"
301879294,"Debian 9.8","amd64","--","Team Blue","2019-03-18 06:44","2019-03-18 06:44","8.202.b08-85(amd64)"
