"CMDB_Id","Distribution","Architecture","Environment","Team","Last seen","Last modified","Installed version"
274656589,"jessie","amd64","DEV","Ops App1","2019-02-18 11:43","2019-02-18 11:43","42.28-2(amd64)"
153062618,"jessie","amd64","DEV","Ops App1","2019-02-18 11:56","2019-02-18 11:56","42.28-2(amd64)"
282201163,"jessie","amd64","LIVE","Ops App1","2019-02-18 12:04","2019-02-18 12:04","48.33-1(amd64)"
154614537,"jessie","amd64","LIVE","Ops App1","2019-02-18 12:14","2019-02-18 12:14","48.33-1(amd64)"
206901581,"jessie","amd64","Canary","Ops App1","2019-02-18 12:17","2019-02-18 12:17","48.33-1(amd64)"
282201177,"jessie","amd64","LIVE","Ops App1","2019-02-18 13:20","2019-02-18 13:20","48.33-1(amd64)"
154614670,"jessie","amd64","LIVE","Ops App1","2019-02-18 13:43","2019-02-18 13:43","48.33-1(amd64)"
282201374,"jessie","amd64","LIVE","Ops App1","2019-02-18 14:13","2019-02-18 14:13","48.33-1(amd64)"
207125061,"jessie","amd64","LIVE","Ops App1","2019-02-18 14:14","2019-02-18 14:14","48.33-1(amd64)"
176074026,"jessie","amd64","DEV","Platform","2019-02-18 14:19","2019-02-18 14:19","42.28-2(amd64)"
222339540,"jessie","amd64","LIVE","Ops App1","2019-02-18 14:26","2019-02-18 14:26","42.28-2(amd64)"
261814969,"jessie","amd64","LIVE","Ops App1","2019-02-18 15:38","2019-02-18 15:38","42.28-2(amd64)"
146143611,"jessie","amd64","LIVE","Ops Linux","2019-02-18 16:16","2019-02-18 16:16","42.28-2(amd64)"
141370727,"jessie","amd64","DEV","Ops Linux","2019-02-18 16:36","2019-02-18 16:36","42.28-2(amd64)"
143002512,"jessie","amd64","LIVE","Ops Linux","2019-02-18 16:57","2019-02-18 16:57","42.28-2(amd64)"
154614532,"jessie","amd64","LIVE","Ops App1","2019-02-18 17:10","2019-02-18 17:10","42.28-2(amd64)"
207125008,"jessie","amd64","LIVE","Ops App1","2019-02-18 17:21","2019-02-18 17:21","42.28-2(amd64)"
275675302,"jessie","amd64","Canary","Ops App1","2019-02-18 18:11","2019-02-18 18:11","42.28-2(amd64)"
266218506,"jessie","amd64","Canary","Ops App1","2019-02-18 19:05","2019-02-18 19:05","42.28-2(amd64)"
222339550,"jessie","amd64","LIVE","Ops App1","2019-02-18 19:43","2019-02-18 19:43","42.28-2(amd64)"
266218060,"jessie","amd64","LIVE","Ops App1","2019-02-18 19:53","2019-02-18 19:53","42.28-2(amd64)"
206409056,"jessie","amd64","DEV","Ops App1","2019-02-18 20:36","2019-02-18 20:36","42.28-2(amd64)"
287029610,"jessie","amd64","LIVE","Ops App1","2019-02-18 20:55","2019-02-18 20:55","42.28-2(amd64)"
155110763,"jessie","amd64","DEV","Ops App1","2019-02-18 21:11","2019-02-18 21:11","42.28-2(amd64)"
216286426,"jessie","amd64","DEV","Ops App1","2019-02-18 21:17","2019-02-18 21:17","42.28-2(amd64)"
191805521,"jessie","amd64","Canary","Ops App1","2019-02-18 22:34","2019-02-18 22:34","42.28-2(amd64)"
176075105,"jessie","amd64","LIVE","Platform","2019-02-18 22:34","2019-02-18 22:34","41.15-2(amd64)"
266218076,"jessie","amd64","LIVE","Ops App1","2019-02-18 23:14","2019-02-18 23:14","41.15-2(amd64)"
266218499,"jessie","amd64","Canary","Ops App1","2019-02-19 00:23","2019-02-19 00:23","41.15-2(amd64)"
143003430,"jessie","amd64","Canary","Ops Linux","2019-02-19 00:27","2019-02-19 00:27","41.15-2(amd64)"
176074027,"jessie","amd64","DEV","Platform","2019-02-19 00:36","2019-02-19 00:36","42.28-2(amd64)"
205508607,"jessie","amd64","Canary","Ops App1","2019-02-19 01:12","2019-02-19 01:12","42.28-2(amd64)"
222313212,"jessie","amd64","DEV","Ops App1","2019-02-19 01:28","2019-02-19 01:28","42.28-2(amd64)"
155110759,"jessie","amd64","DEV","Ops App1","2019-02-19 02:13","2019-02-19 02:13","42.28-2(amd64)"
176075073,"jessie","amd64","LIVE","Platform","2019-02-19 02:53","2019-02-19 02:53","41.15-2(amd64)"
97611105,"jessie","amd64","LIVE","Ops App1","2019-02-19 03:08","2019-02-19 03:08","42.28-2(amd64)"
191805577,"jessie","amd64","LIVE","Ops App1","2019-02-19 04:14","2019-02-19 04:14","42.28-2(amd64)"
274657400,"jessie","amd64","QA","Ops App1","2019-02-19 04:30","2019-02-19 04:30","42.28-2(amd64)"
266217046,"jessie","amd64","LIVE","Ops App1","2019-02-19 04:40","2019-02-19 04:40","42.28-2(amd64)"
282201377,"jessie","amd64","LIVE","Ops App1","2019-02-19 04:59","2019-02-19 04:59","42.28-2(amd64)"
266217042,"jessie","amd64","LIVE","Ops App1","2019-02-19 05:04","2019-02-19 05:04","42.28-2(amd64)"
176075076,"jessie","amd64","LIVE","Platform","2019-02-19 05:26","2019-02-19 05:26","42.28-2(amd64)"
154614674,"jessie","amd64","LIVE","Ops App1","2019-02-19 06:20","2019-02-19 06:20","42.28-2(amd64)"
153062622,"jessie","amd64","DEV","Ops App1","2019-02-19 06:27","2019-02-19 06:27","42.28-2(amd64)"
180076971,"Debian 8.6","amd64","LIVE","Big Data","2019-02-19 06:40","2019-02-19 06:40","42.28-2(amd64)"
86896785,"Debian 8.11","amd64","","Email","2019-02-19 06:46","2019-02-19 06:46","45.11-1(amd64)"
